Company_Name,Dependent-Company Status,Age of company in years,Internet Activity Score,Employee Count,Last Funding Amount,Number of Investors in Seed,Number of of repeat investors,Focus on consumer data?,Machine Learning based business,Predictive Analytics business,Online or offline venture - physical location based business or online venture?,Solutions offered,Number of Direct competitors,"Avg time to investment - average across all rounds, measured from previous investment",Renown score,
Company1,Success,No Info,-1,3,450000,2,4,No,No,No,Online,Yes,0,11.56,0,
Company2,Success,3,125,,,5,0,Yes,Yes,Yes,Online,Yes,0,9,8,
Company3,Success,3,455,14,2350000,15,0,Yes,No,Yes,Online,Yes,0,7.344444444,9,
Company4,Success,5,-99,45,10250000,6,0,Yes,No,No,Online,Yes,2,8.7,5,
Company5,Success,4,496,39,5500000,7,0,Yes,No,No,Online,Yes,0,9.822222222,6,
Company6,Success,4,106,14,1000000,2,2,Yes,No,No,Online,Yes,0,9.322222222,6,
Company7,Success,3,39,7,2000000,7,4,Yes,No,Yes,Online,Yes,0,7.311111111,0,
Company8,Success,4,139,29,6700000,0,0,No,No,Yes,Online,Yes,0,6.4,2,
Company9,Success,3,306,16,11000000,13,0,Yes,No,No,Online,Yes,0,12,5,
Company10,Success,1,53,3,3000000,0,0,Yes,No,Yes,Online,Yes,0,5,4,
Company11,Success,3,762,34,16000000,0,0,Yes,No,No,Online,Yes,4,2.666666667,6,
Company12,Success,4,140,31,6300000,0,1,No,No,No,Online,No,0,3.85,0,
Company13,Success,4,115,47,11500000,0,1,Yes,No,No,Online,Yes,0,6,0,
Company14,Success,6,277,22,6500000,0,0,Yes,No,No,Online,Yes,0,7.333333333,0,
Company15,Success,4,242,13,2800000,0,0,Yes,Yes,Yes,Online,Yes,0,48,1,
Company16,Success,6,533,129,41000000,0,0,Yes,No,Yes,Online,Yes,0,8,5,
Company17,Success,4,-81,23,3499999,0,2,Yes,No,Yes,Online,Yes,0,11.06666667,2,
Company18,Success,5,471,52,10000000,0,2,Yes,Yes,Yes,Online,Yes,0,12.61666667,0,
Company19,Success,12,47,46,750000,0,0,Yes,Yes,No,Online,Yes,0,24.625,5,
Company20,Success,4,60,5,749999,0,0,Yes,No,Yes,Online,Yes,4,5.455555556,8,
Company21,Success,4,70,27,5000000,0,0,Yes,Yes,Yes,Offline,No,0,15,7,
Company22,Success,9,242,,1500000,0,0,No,Yes,Yes,Both,Yes,0,96,0,
Company23,Success,2,245,32,15000000,0,2,Yes,No,No,Offline,No,0,7.366666667,9,
Company24,Success,5,,,,6,4,No,No,No,Online,No,0,18,9,
Company25,Success,2,373,3,1700000,1,0,No,Yes,Yes,Online,No,5,3.55,3,
Company26,Success,3,61,5,250000,3,0,Yes,No,No,Online,No,3,6.111111111,0,
Company27,Success,5,155,5,1400000,0,0,No,No,No,Online,No,0,48,0,
Company28,Success,1,43,,1100000,6,0,No,Yes,Yes,Online,No,0,4,4,
Company29,Success,7,11,,15000000,0,2,No,Yes,Yes,Online,No,0,13.62222222,1,
Company30,Success,2,281,3,200000,3,0,No,No,No,Online,Yes,5,3,5,
Company31,Success,2,421,7,600000,2,0,No,No,No,Online,Yes,0,1,2,
Company32,Success,6,-91,39,,0,3,No,Yes,No,Online,No,0,12.12222222,4,
Company33,Success,4,983,115,20000000,2,3,No,No,Yes,Online,No,0,12,1,
Company34,Success,3,68,9,2000000,No Info,0,No,Yes,Yes,Online,No,Low,1,5.555555556,1
Company36,Success,2,75,14,2870890,0,0,Yes,Yes,Yes,Offline,No,0,5.033333333,0,
Company37,Success,2,140,26,5200000,0,2,Yes,No,No,Offline,Yes,0,7.116666667,3,
Company38,Success,2,46,6,70000,4,1,Yes,No,No,Online,Yes,0,1,4,
Company39,Success,4,33,13,1000000,24,4,Yes,No,No,Online,Yes,3,9.822222222,0,
Company40,Success,4,56,7,450000,3,0,Yes,No,Yes,Online,Yes,3,14,5,
Company41,Success,2,89,6,,2,0,No,Yes,Yes,Online,No,5,18,3,
